bit,ndummy,ndummy_effective,iters,rc5,miss_per_iter,seconds
5,94,96,2000000,1003696,0.501848000,
5,95,97,2000000,1003129,0.501564500,
5,96,98,2000000,1003357,0.501678500,
5,97,99,2000000,1003124,0.501562000,
5,98,100,2000000,1003215,0.501607500,
5,99,101,2000000,1003284,0.501642000,
5,100,102,2000000,1002798,0.501399000,
6,65,67,2000000,3875,0.001937500,
6,66,68,2000000,3838,0.001919000,
6,67,69,2000000,4196,0.002098000,
6,68,70,2000000,3826,0.001913000,
6,69,71,2000000,3893,0.001946500,
6,70,72,2000000,3950,0.001975000,
6,71,73,2000000,3826,0.001913000,
6,72,74,2000000,3766,0.001883000,
6,73,75,2000000,3788,0.001894000,
6,74,76,2000000,3858,0.001929000,
6,75,77,2000000,3994,0.001997000,
6,76,78,2000000,3965,0.001982500,
6,77,79,2000000,3905,0.001952500,
6,78,80,2000000,3879,0.001939500,
6,79,81,2000000,3695,0.001847500,
6,80,82,2000000,3832,0.001916000,
6,81,83,2000000,5027,0.002513500,
6,82,84,2000000,3929,0.001964500,
6,83,85,2000000,3933,0.001966500,
6,84,86,2000000,5014,0.002507000,
6,85,87,2000000,4406,0.002203000,
6,86,88,2000000,4958,0.002479000,
6,87,89,2000000,4169,0.002084500,
6,88,90,2000000,3994,0.001997000,
6,89,91,2000000,3868,0.001934000,
6,90,92,2000000,3853,0.001926500,
6,91,93,2000000,3879,0.001939500,
6,92,94,2000000,3987,0.001993500,
6,93,95,2000000,1003635,0.501817500,
6,94,96,2000000,1003915,0.501957500,
6,95,97,2000000,1002753,0.501376500,
6,96,98,2000000,1002895,0.501447500,
6,97,99,2000000,1003310,0.501655000,
6,98,100,2000000,1002769,0.501384500,
6,99,101,2000000,1002932,0.501466000,
6,100,102,2000000,1002971,0.501485500,
7,65,67,2000000,3905,0.001952500,
7,66,68,2000000,3941,0.001970500,
7,67,69,2000000,3837,0.001918500,
7,68,70,2000000,3961,0.001980500,
7,69,71,2000000,4079,0.002039500,
7,70,72,2000000,3877,0.001938500,
7,71,73,2000000,3866,0.001933000,
7,72,74,2000000,3705,0.001852500,
7,73,75,2000000,4074,0.002037000,
7,74,76,2000000,4935,0.002467500,
7,75,77,2000000,4057,0.002028500,
7,76,78,2000000,3899,0.001949500,
7,77,79,2000000,4368,0.002184000,
7,78,80,2000000,4414,0.002207000,
7,79,81,2000000,4478,0.002239000,
7,80,82,2000000,3943,0.001971500,
7,81,83,2000000,3837,0.001918500,
7,82,84,2000000,4051,0.002025500,
7,83,85,2000000,3885,0.001942500,
7,84,86,2000000,4048,0.002024000,
7,85,87,2000000,4113,0.002056500,
7,86,88,2000000,3952,0.001976000,
7,87,89,2000000,3895,0.001947500,
7,88,90,2000000,3870,0.001935000,
7,89,91,2000000,4410,0.002205000,
7,90,92,2000000,4381,0.002190500,
7,91,93,2000000,4533,0.002266500,
7,92,94,2000000,1003454,0.501727000,
7,93,95,2000000,1004430,0.502215000,
7,94,96,2000000,1004157,0.502078500,
7,95,97,2000000,1003323,0.501661500,
7,96,98,2000000,1003089,0.501544500,
7,97,99,2000000,1002924,0.501462000,
7,98,100,2000000,1002906,0.501453000,
7,99,101,2000000,1002903,0.501451500,
7,100,102,2000000,1003438,0.501719000,
8,65,67,2000000,3942,0.001971000,
8,66,68,2000000,3774,0.001887000,
8,67,69,2000000,3886,0.001943000,
8,68,70,2000000,3874,0.001937000,
8,69,71,2000000,3867,0.001933500,
8,70,72,2000000,3974,0.001987000,
8,71,73,2000000,4130,0.002065000,
8,72,74,2000000,4985,0.002492500,
8,73,75,2000000,3850,0.001925000,
8,74,76,2000000,4765,0.002382500,
8,75,77,2000000,3918,0.001959000,
8,76,78,2000000,3911,0.001955500,
8,77,79,2000000,4144,0.002072000,
8,78,80,2000000,3782,0.001891000,
8,79,81,2000000,5025,0.002512500,
8,80,82,2000000,4096,0.002048000,
8,81,83,2000000,3938,0.001969000,
8,82,84,2000000,3862,0.001931000,
8,83,85,2000000,4125,0.002062500,
8,84,86,2000000,3966,0.001983000,
8,85,87,2000000,4064,0.002032000,
8,86,88,2000000,4026,0.002013000,
8,87,89,2000000,4066,0.002033000,
8,88,90,2000000,4133,0.002066500,
8,89,91,2000000,3898,0.001949000,
8,90,92,2000000,3988,0.001994000,
8,91,93,2000000,1004207,0.502103500,
8,92,94,2000000,1004342,0.502171000,
8,93,95,2000000,1004526,0.502263000,
8,94,96,2000000,1003704,0.501852000,
8,95,97,2000000,1002945,0.501472500,
8,96,98,2000000,1003422,0.501711000,
8,97,99,2000000,1002998,0.501499000,
8,98,100,2000000,1003298,0.501649000,
8,99,101,2000000,1003144,0.501572000,
8,100,102,2000000,1003628,0.501814000,
9,65,67,2000000,3798,0.001899000,
9,66,68,2000000,3903,0.001951500,
9,67,69,2000000,3970,0.001985000,
9,68,70,2000000,3950,0.001975000,
9,69,71,2000000,3982,0.001991000,
9,70,72,2000000,3887,0.001943500,
9,71,73,2000000,3964,0.001982000,
9,72,74,2000000,3826,0.001913000,
9,73,75,2000000,3940,0.001970000,
9,74,76,2000000,4031,0.002015500,
9,75,77,2000000,4077,0.002038500,
9,76,78,2000000,3915,0.001957500,
9,77,79,2000000,3868,0.001934000,
9,78,80,2000000,3817,0.001908500,
9,79,81,2000000,3836,0.001918000,
9,80,82,2000000,4010,0.002005000,
9,81,83,2000000,4044,0.002022000,
9,82,84,2000000,3972,0.001986000,
9,83,85,2000000,4085,0.002042500,
9,84,86,2000000,3901,0.001950500,
9,85,87,2000000,3907,0.001953500,
9,86,88,2000000,4008,0.002004000,
9,87,89,2000000,3856,0.001928000,
9,88,90,2000000,4032,0.002016000,
9,89,91,2000000,3801,0.001900500,
9,90,92,2000000,1003585,0.501792500,
9,91,93,2000000,1003955,0.501977500,
9,92,94,2000000,1003373,0.501686500,
9,93,95,2000000,1003622,0.501811000,
9,94,96,2000000,1003516,0.501758000,
9,95,97,2000000,1003494,0.501747000,
9,96,98,2000000,1003362,0.501681000,
9,97,99,2000000,1003118,0.501559000,
