dummy,rc5_total,misses_per_iter
2,5773.000,0.000288650000
3,5445.000,0.000272250000
4,5538.000,0.000276900000
5,5678.000,0.000283900000
6,5964.000,0.000298200000
7,5549.000,0.000277450000
8,5793.000,0.000289650000
9,5584.000,0.000279200000
10,5496.000,0.000274800000
11,5228.000,0.000261400000
12,5356.000,0.000267800000
13,5564.000,0.000278200000
14,5217.000,0.000260850000
15,5398.000,0.000269900000
16,5258.000,0.000262900000
17,5320.000,0.000266000000
18,5802.000,0.000290100000
19,5715.000,0.000285750000
20,5494.000,0.000274700000
21,5397.000,0.000269850000
22,5312.000,0.000265600000
23,5311.000,0.000265550000
24,5292.000,0.000264600000
25,5745.000,0.000287250000
26,5351.000,0.000267550000
27,5486.000,0.000274300000
28,5509.000,0.000275450000
29,5685.000,0.000284250000
30,5591.000,0.000279550000
31,5741.000,0.000287050000
32,5582.000,0.000279100000
33,5378.000,0.000268900000
34,5292.000,0.000264600000
35,5460.000,0.000273000000
36,5421.000,0.000271050000
37,5592.000,0.000279600000
38,5859.000,0.000292950000
39,5491.000,0.000274550000
40,5434.000,0.000271700000
41,5267.000,0.000263350000
42,5476.000,0.000273800000
43,5461.000,0.000273050000
44,5296.000,0.000264800000
45,5341.000,0.000267050000
46,5485.000,0.000274250000
47,5459.000,0.000272950000
48,5512.000,0.000275600000
49,5410.000,0.000270500000
50,5193.000,0.000259650000
51,5485.000,0.000274250000
52,5286.000,0.000264300000
53,5507.000,0.000275350000
54,5502.000,0.000275100000
55,5588.000,0.000279400000
56,5424.000,0.000271200000
57,5645.000,0.000282250000
58,5410.000,0.000270500000
59,5384.000,0.000269200000
60,5554.000,0.000277700000
61,5931.000,0.000296550000
62,5910.000,0.000295500000
63,5691.000,0.000284550000
64,5683.000,0.000284150000
65,5703.000,0.000285150000
66,5660.000,0.000283000000
67,5823.000,0.000291150000
68,5816.000,0.000290800000
69,5438.000,0.000271900000
70,5488.000,0.000274400000
71,5525.000,0.000276250000
72,5464.000,0.000273200000
73,5918.000,0.000295900000
74,5669.000,0.000283450000
75,5886.000,0.000294300000
76,5933.000,0.000296650000
77,5619.000,0.000280950000
78,5463.000,0.000273150000
79,5559.000,0.000277950000
80,5405.000,0.000270250000
81,5659.000,0.000282950000
82,5302.000,0.000265100000
83,5820.000,0.000291000000
84,5611.000,0.000280550000
85,6126.000,0.000306300000
86,6060.000,0.000303000000
87,5554.000,0.000277700000
88,5809.000,0.000290450000
89,5578.000,0.000278900000
90,5254.000,0.000262700000
91,5679.000,0.000283950000
92,5377.000,0.000268850000
93,5750.000,0.000287500000
94,5594.000,0.000279700000
95,5315.000,0.000265750000
96,5776.000,0.000288800000
97,5609.000,0.000280450000
98,5774.000,0.000288700000
99,5727.000,0.000286350000
100,5377.000,0.000268850000
101,5543.000,0.000277150000
102,5508.000,0.000275400000
103,5614.000,0.000280700000
104,5384.000,0.000269200000
105,5501.000,0.000275050000
106,5457.000,0.000272850000
107,5417.000,0.000270850000
108,5695.000,0.000284750000
